time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-16T20:00:00+01:00,16547.5,16560.61537,16657.80505,16691.49396,16707.79237,16812.02698,17119.36199,16196.24812,42.93704946,40.93069158
2022-11-16T21:00:00+01:00,16568.5,16562.36751,16649.68641,16684.46573,16702.81764,16807.20467,17094.98928,16204.38354,49.0524656,42.5970486
2022-11-16T22:00:00+01:00,16537,16556.73029,16639.44219,16676.03912,16696.89558,16801.85408,17073.18772,16205.69667,55.66185635,40.74049123
2022-11-16T23:00:00+01:00,16658.5,16579.34578,16641.17472,16675.03688,16695.52431,16799.01539,17090.86699,16191.48245,73.33538048,49.82438376
2022-11-17T00:00:00+01:00,16643,16593.49116,16641.34066,16673.2062,16693.64844,16795.92597,17088.80491,16193.87641,84.06418675,48.79673476
2022-11-17T01:00:00+01:00,16681.5,16613.04868,16644.99151,16673.68013,16693.21457,16793.66011,17080.74402,16209.23899,98.13977452,51.47399813
2022-11-17T02:00:00+01:00,16676.5,16627.14897,16647.85591,16673.84127,16692.61762,16791.34011,17064.16182,16231.55,97.51894626,51.10030861
2022-11-17T03:00:00+01:00,16560.5,16612.33809,16639.91447,16667.36463,16687.89913,16786.76902,17052.94853,16226.88041,85.72399925,43.25466404
2022-11-17T04:00:00+01:00,16517.5,16591.26296,16628.78588,16658.80093,16681.81345,16781.43696,17032.24608,16225.32568,67.9187219,40.75662908
2022-11-17T05:00:00+01:00,16497,16570.31564,16616.80534,16649.55517,16675.21297,16775.80454,17020.37553,16213.23516,48.78440786,39.58296456
2022-11-17T06:00:00+01:00,16575,16571.35661,16613.00486,16645.29487,16671.63394,16771.82822,17005.10574,16220.90397,50.10358253,45.95957518
2022-11-17T07:00:00+01:00,16553,16567.27736,16607.54987,16640.02088,16667.39701,16767.49498,16992.85784,16222.24191,48.44867723,44.53194758
2022-11-17T08:00:00+01:00,16597.5,16573.9935,16606.63625,16637.59111,16664.90069,16764.12875,16982.20793,16231.06457,58.59799172,48.0473015
2022-11-17T09:00:00+01:00,16552,16569.10606,16601.66932,16632.70019,16660.86852,16759.92818,16968.62873,16234.7099,52.54210836,44.91304383
2022-11-17T10:00:00+01:00,16507,16555.30471,16593.06301,16625.51732,16655.37322,16754.9197,16957.38247,16228.74355,45.43120663,41.99526844
2022-11-17T11:00:00+01:00,16516,16546.57033,16586.05729,16619.25919,16650.3956,16750.18862,16935.49678,16236.61779,30.7097384,42.79569731
2022-11-17T12:00:00+01:00,16581,16554.22137,16585.59753,16617.07295,16647.91719,16746.83835,16930.75564,16240.43943,40.31701518,48.34025735
2022-11-17T13:00:00+01:00,16565.5,16556.72773,16583.77048,16614.12593,16644.97372,16743.24749,16917.45301,16250.08796,54.812465,47.16624485
2022-11-17T14:00:00+01:00,16487,16541.23268,16574.97317,16606.86159,16639.3318,16738.17328,16917.07123,16232.87511,51.59898914,41.64935083
2022-11-17T15:00:00+01:00,16490.5,16529.95875,16567.29379,16600.21235,16634.01638,16733.26886,16901.88484,16232.70273,33.97392781,41.97523241
2022-11-17T16:00:00+01:00,16519,16527.52347,16562.90344,16595.57165,16629.90865,16729.02591,16920.30942,16205.49746,32.13379919,44.68432498
2022-11-17T17:00:00+01:00,16635,16551.40715,16569.45768,16597.8247,16630.09048,16727.16401,16936.6918,16202.22355,59.6745711,54.08147529
2022-11-17T18:00:00+01:00,16678.5,16579.65,16579.37061,16602.43471,16631.81939,16726.20037,16941.26659,16217.47464,86.08423683,57.02952031
2022-11-17T19:00:00+01:00,16680.5,16602.06111,16588.5642,16606.89559,16633.55799,16725.29541,16944.11046,16233.01793,100,57.16568466
2022-11-17T20:00:00+01:00,16606.5,16603.04753,16590.19472,16606.87298,16632.59163,16722.94303,16942.41625,16237.9732,86.23220257,50.75691243
