Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2020-12-23,0.83,90.413,0.25,23.31,-1.6155555555555554,59.222580645161294,6.487096774193549,1.4,19300.41612903226,23234.965
2020-12-24,0.81,90.323,0.25,21.53,-1.5844444444444443,59.16451612903226,6.47741935483871,1.4,19308.40322580645,23725.2675
2020-12-25,0.81,90.223,0.25,21.5725,-1.5533333333333332,59.10645161290323,6.467741935483871,1.4,19316.390322580646,24705.6075
2020-12-26,0.81,90.28,0.25,21.615000000000002,-1.5222222222222221,59.0483870967742,6.458064516129032,1.4,19324.377419354838,26458.9725
2020-12-27,0.81,90.337,0.25,21.6575,-1.491111111111111,58.99032258064516,6.448387096774194,1.4,19332.364516129033,26259.1225
2020-12-28,0.81,90.16550000000001,0.25,21.7,-1.46,58.932258064516134,6.4387096774193555,1.4,19340.351612903225,27037.975
2020-12-29,0.82,89.994,0.25,23.08,-1.4288888888888889,58.8741935483871,6.429032258064517,1.4,19348.33870967742,27370.3625
2020-12-30,0.81,89.68,0.25,22.77,-1.3977777777777778,58.81612903225807,6.419354838709678,1.4,19356.325806451612,28889.2925
2020-12-31,0.8,89.937,0.25,22.75,-1.3666666666666665,58.75806451612903,6.409677419354839,1.4,19364.312903225808,28980.4525
2021-01-01,0.805,89.931,0.25,23.805,-1.3355555555555554,58.7,6.4,1.4,19372.3,29404.035
2021-01-02,0.81,89.9,0.25,24.86,-1.3044444444444443,58.770967741935486,6.393548387096774,1.4096774193548387,19380.12580645161,32223.72
2021-01-03,0.815,89.869,0.25,25.915,-1.2733333333333332,58.84193548387097,6.387096774193549,1.4193548387096773,19387.951612903224,33096.3175
2021-01-04,0.82,89.6525,0.25,26.97,-1.2422222222222221,58.91290322580645,6.380645161290323,1.429032258064516,19395.77741935484,32028.2225
2021-01-05,0.83,89.436,0.25,25.34,-1.211111111111111,58.983870967741936,6.3741935483870975,1.4387096774193548,19403.60322580645,34052.6475
2021-01-06,0.9,89.53,0.25,25.07,-1.18,59.05483870967742,6.367741935483871,1.4483870967741934,19411.429032258064,36873.235
2021-01-07,0.94,89.826,0.25,22.37,-1.1488888888888888,59.1258064516129,6.361290322580645,1.4580645161290322,19419.254838709676,39501.2625
2021-01-08,0.99,90.098,0.25,21.56,-1.1177777777777775,59.196774193548386,6.35483870967742,1.467741935483871,19427.08064516129,40658.6275
2021-01-09,0.9966666666666667,90.2815,0.25,22.4,-1.0866666666666664,59.267741935483876,6.348387096774194,1.4774193548387096,19434.906451612904,40252.745
2021-01-10,1.0033333333333334,90.465,0.25,23.24,-1.0555555555555554,59.33870967741936,6.341935483870968,1.4870967741935484,19442.732258064516,38173.345
2021-01-11,1.01,90.279,0.25,24.08,-1.0244444444444443,59.40967741935484,6.335483870967742,1.496774193548387,19450.558064516128,35458.7275
2021-01-12,1.01,90.093,0.25,23.33,-0.9933333333333332,59.480645161290326,6.329032258064516,1.5064516129032257,19458.38387096774,34034.27
2021-01-13,0.96,90.355,0.25,22.21,-0.9622222222222221,59.55161290322581,6.322580645161291,1.5161290322580645,19466.209677419356,37399.4125
2021-01-14,0.99,90.239,0.25,23.25,-0.931111111111111,59.62258064516129,6.316129032258065,1.525806451612903,19474.035483870968,39139.71
2021-01-15,0.98,90.725,0.25,24.34,-0.8999999999999999,59.693548387096776,6.309677419354839,1.5354838709677419,19481.86129032258,36760.6625
2021-01-16,0.975,90.745,0.25,24.064999999999998,-0.8688888888888888,59.76451612903226,6.303225806451613,1.5451612903225806,19489.687096774192,36010.045
2021-01-17,0.97,90.765,0.25,23.79,-0.8377777777777777,59.83548387096774,6.296774193548387,1.5548387096774192,19497.51290322581,35822.635
2021-01-18,0.965,90.6315,0.25,23.515,-0.8066666666666666,59.906451612903226,6.290322580645162,1.564516129032258,19505.33870967742,36625.1225
2021-01-19,0.96,90.498,0.25,23.24,-0.7755555555555553,59.97741935483871,6.283870967741936,1.5741935483870968,19513.164516129033,35915.7275
2021-01-20,0.97,90.475,0.25,21.58,-0.7444444444444442,60.04838709677419,6.27741935483871,1.5838709677419354,19520.990322580645,35502.5025
2021-01-21,0.99,90.131,0.25,21.32,-0.7133333333333332,60.119354838709675,6.270967741935484,1.5935483870967742,19528.81612903226,30839.85
2021-01-22,0.97,90.238,0.25,21.91,-0.6822222222222221,60.19032258064516,6.264516129032258,1.603225806451613,19536.641935483873,33001.7675
2021-01-23,0.9533333333333334,90.31450000000001,0.25,22.336666666666666,-0.651111111111111,60.26129032258064,6.258064516129032,1.6129032258064515,19544.467741935485,32111.9675
2021-01-24,0.9366666666666666,90.391,0.25,22.763333333333335,-0.6199999999999999,60.332258064516125,6.251612903225807,1.6225806451612903,19552.293548387097,32291.01
2021-01-25,0.92,90.2805,0.25,23.19,-0.5888888888888888,60.403225806451616,6.245161290322581,1.632258064516129,19560.11935483871,32271.49
2021-01-26,0.94,90.17,0.25,23.02,-0.5577777777777777,60.4741935483871,6.238709677419355,1.6419354838709677,19567.945161290325,32513.14
2021-01-27,0.92,90.647,0.25,37.21,-0.5266666666666666,60.54516129032258,6.232258064516129,1.6516129032258065,19575.770967741937,30427.465
2021-01-28,0.95,90.455,0.25,30.21,-0.4955555555555555,60.616129032258065,6.225806451612903,1.661290322580645,19583.59677419355,33460.75
